tileid,parenttile_id,resourceinstance_id,Anglicized name,Name in Roman (with diacritical marks),Alternative name(s),Name in Devanagari,sortorder,provisionaledits,nodegroup_id
19ff0b11-ac5d-410e-b023-1999daecfc99,None,1a039922-09eb-11ea-8a1c-0242ac130002,Sarasvati Falca,Sarasvatī Phalcā (ca. early 17th-century),,सरस्वती फल्चा || LAL4174,0,,27b6916c-9323-11e9-a015-0242ac120006
a306e841-6ee1-48d3-86ee-a341b79054e1,None,1a0a8ea8-eff1-11e9-a3c8-0242ac130002,Dhvakha Phalcha,Dhvākhā Phalcā (renovated in 1698 CE) ,"<p>Dhokhā Pāṭī (Inscription from 1937)&nbsp;</p>

<p>Ḍhokā Pāṭī (Inscription from 2002)</p>

<p>The name stands for &#39;door&#39;.</p>
",ध्वाखा फल्चा ||  BUN4006,0,,27b6916c-9323-11e9-a015-0242ac120006
9fc3fb25-a115-41df-9863-3b03c74dba16,None,1a16c05c-ee04-4441-a90c-a9177408fb98,Sanjyalbada Devala,Sanjyalbādā Devala,"<p>Devala</p>
",सन्ज्यल्बाडा डेवल || SIJ0340,0,,27b6916c-9323-11e9-a015-0242ac120006
1a1daf16-78da-11ea-a71c-0242ac130006,None,1a1afb9a-78da-11ea-a71c-0242ac130006,Taleju Temple South,Taleju Mandira South (17th cent.),,तलेजु मन्दिर दक्षिण||  LAL1271,0,,27b6916c-9323-11e9-a015-0242ac120006
7e8c632b-a310-49b1-9c54-af56a5366d30,None,1a5335da-e755-11e9-b125-0242ac130002,Taleju Temple,Taleju Mandira (1620 CE),,तलेजु मन्दिर || LAL1270,0,,27b6916c-9323-11e9-a015-0242ac120006
eee9ba4a-22c0-4f75-9b38-296634c56a10,None,1a7f3f24-ec12-11e9-8bc4-0242ac130002,Oku Baha,Oku Bāhāḥ (1114 CE),"<p>Śivadevasaṃskārita Rudravarṇa Mahāvihāra, Uku Bāhāḥ, U Bāhāḥ</p>
",ओकु बाहा: ॥ LAL2260,0,,27b6916c-9323-11e9-a015-0242ac120006
431e4e37-0e70-4521-9f63-fe4c428bcf5e,None,1aadfb0c-34ff-4498-897c-8fe5259f197d,Tatopani pillar,Tātopānī pillar,,तातोपानी स्तम्भ || JUM0140,0,,27b6916c-9323-11e9-a015-0242ac120006
caa1266a-da4c-41d7-b49b-1dcc3485d558,None,1b0a5033-a1ca-4049-8d6f-d1c7b243eabe,Layaku Phalca ,Lāykū Phalcā,"<p>Lāmāpaṭī (vernacular)</p>

<p>Taḥ Sataḥ (vernacular)&nbsp;</p>

<p>Laykuphalcā <em>(</em><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/niels/titleCreatorYear/items/SSJP3PFI/item-list"" target=""_blank""><strong>Gutschow</strong></a><strong>&nbsp;</strong>2011, 645<em>)</em></p>
",लाय्‌कू फल्चा ||BKT0094,0,,27b6916c-9323-11e9-a015-0242ac120006
df97a0bf-c8c3-40d3-ad17-8729e3940025,None,1b800023-3ea3-48df-b4ac-c2fae7966360,Bhurti Ekledevala 3,Bhurtī Ekle Devala 3 (built between the 13th-15th cent.),"<p>Bhurtī Devala</p>

<p>Bhurtī Pa&ntilde;cadevala</p>

<p>Bhurtī Mandira</p>
",भुर्ती एक्ले देवल ३ || DLK0018,0,,27b6916c-9323-11e9-a015-0242ac120006
edb1fcf4-0cc4-47a5-b80a-d30db0a4ecbb,None,1c2db54a-e68f-11e9-b125-0242ac130002,Tati Bungadya Sattal,Thati Buṅgadyaḥ Sataḥ,,थति बुङ्गद्यः सतः || LAL4106,0,,27b6916c-9323-11e9-a015-0242ac120006
