tileid,parenttile_id,resourceinstance_id,Spatial Coordinates Geometry,sortorder,provisionaledits,nodegroup_id
f317ae85-cfdc-45f6-81b4-80d3bf6e5935,None,13b0e238-70ba-11ea-b99f-0242ac130006,GEOMETRYCOLLECTION (POINT (85.31902843768421 27.66288242830406)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
39c05611-6843-46a2-8838-897d53e402d4,None,13b406e0-8594-4cf7-8592-4e7d82bb4ce6,GEOMETRYCOLLECTION (POINT (85.27833498338998 27.67663622631009)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
13ea6f44-0b5f-4054-b3d8-0687f9be0d5c,None,1414a11c-d6a1-46df-9667-8793239be9dd,GEOMETRYCOLLECTION (POINT (81.64723192589156 29.25406952584134)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
71a96d46-52b1-4983-b686-eec3b5faea84,None,141efef8-74ca-11ea-b4b6-0242ac130006,GEOMETRYCOLLECTION (POINT (85.32374700105464 27.67741322166048)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d0889c32-dbac-4030-89ea-5355b7f552fb,None,143332de-342b-4f52-92ac-dd1b5accd1ea,GEOMETRYCOLLECTION (POINT (81.71747477235039 28.86935341249524)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
5cd4dbab-0a38-4cbc-9299-cd3ef5b35dd7,None,143b3eaf-9561-4dbe-8f57-5b84756b8865,GEOMETRYCOLLECTION (POINT (85.30645799075222 27.70678831792119)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
36e1b2f4-c9f6-425a-ad9f-a11fcc590fba,None,147f9da8-5a54-438d-b51e-1d473f23b374,GEOMETRYCOLLECTION (POINT (85.42934231188684 27.67194014909143)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
c89931c4-fc72-4443-9867-464a5271a0db,None,14b65b9e-1869-4c2a-b0d4-d013efe48da0,GEOMETRYCOLLECTION (POINT (85.32814748444429 27.66806133903603)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d30e400e-5e26-4915-9c86-71073da2dc3a,None,14cbeef4-f646-11e9-a3c8-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32230334041725 27.67035616855938)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
3789a061-d726-4ece-9e7e-977e777517e6,None,15217304-e6a8-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32521077128297 27.67409630988731)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
036215d1-38c7-45f7-a005-a9c0636eeea1,None,154297b7-c1ca-4eca-813e-774c28a7f805,GEOMETRYCOLLECTION (POINT (85.24546458526686 27.69121969705054)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6b5c11a2-deb9-48e7-9864-38a0027d61be,None,15613d2a-e91b-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32737765448002 27.67334778373104)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
67650610-03e8-49ba-819b-87494c3a3577,None,15a0ed8d-f812-482f-98fc-a61b6704b12f,GEOMETRYCOLLECTION (POINT (85.32616464744513 27.67773537130957)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
8665b261-b314-41e7-a66b-5a119622e6df,None,15acbf64-e9a4-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32304196652979 27.67409048587056)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
ba729692-3c85-488c-a617-f193e67ac106,None,15d6cfa0-0cb8-4616-8eed-9219ddbb76e3,GEOMETRYCOLLECTION (POINT (85.32782519251492 27.66981907246743)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e6703910-7eb3-4b6f-aa81-2a512ced1572,None,160dcc4f-6d81-421d-9eda-0fb8d248513c,GEOMETRYCOLLECTION (POINT (85.32626849497996 27.67776702079934)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
1041a847-18b9-4842-88c4-1f80a4dfdd23,None,16f8b0dc-e9b1-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32523347243841 27.67330424483168)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
ebdc058f-74cc-4338-8bab-ac5c63c54a11,None,170a68d0-e68d-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32463657955464 27.6713055035773)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
33455592-4a7f-43ea-969c-5a5794889129,None,1724e57b-b911-48c1-ab87-68c43a852a64,GEOMETRYCOLLECTION (POINT (85.3282985721288 27.6697589360796)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6ed84caf-d00e-4efd-9a0b-d096388dbd21,None,1772bbc6-e73f-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32333792967842 27.67365707691444)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a377bbc1-b08d-479c-975f-c5d4d967c86d,None,178fd214-e67d-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.31956040968964 27.67549320126084)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
cea420ab-554c-49e8-8350-c455d77736ec,None,1798db32-ecce-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32604071220527 27.67026351212543)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
c1e5d9ce-4fc2-4eee-a419-a56d5656bb0d,None,18f9e792-3138-11ea-b242-0242ac130002,GEOMETRYCOLLECTION (POINT (85.31905652097197 27.67472154230968)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
74b28f8c-182f-4533-9bcf-46b5ea90c893,None,1914bb16-0362-11ea-a389-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32077155563718 27.67615288171663)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
38eec930-496b-4443-8953-4dc363282e87,None,1a039922-09eb-11ea-8a1c-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3253157073047 27.67398944263656)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e43adeb7-b462-42fb-a686-8adb889c1f43,None,1a0a8ea8-eff1-11e9-a3c8-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3021397904826 27.62991408768899)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d8b3980c-88ff-4981-adc7-382e2836aeb2,None,1a16c05c-ee04-4441-a90c-a9177408fb98,GEOMETRYCOLLECTION (POINT (82.01310593393305 29.38077439918466)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
0ca6bc06-86f8-4c54-8701-1428998806d1,None,1a1afb9a-78da-11ea-a71c-0242ac130006,GEOMETRYCOLLECTION (POINT (85.32513638126363 27.67284834841671)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
ec4cd1ad-757d-4f4c-89bc-260f8516467f,None,1a5335da-e755-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32531579051691 27.67310118860694)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e07e4246-be88-4ebb-88fa-c116cfae69e0,None,1a7f3f24-ec12-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32720331864203 27.66827264474473)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
50b41798-ae50-41d1-891a-694c4f278f33,None,1aadfb0c-34ff-4498-897c-8fe5259f197d,GEOMETRYCOLLECTION (POINT (82.06438672070522 29.23702386221433)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
ba75826d-2cfa-43ae-868e-29d4364902cf,None,1b0a5033-a1ca-4049-8d6f-d1c7b243eabe,GEOMETRYCOLLECTION (POINT (85.42898689235273 27.67194251565454)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
76b79643-230f-40e9-b1cb-2e07c95ab4e7,None,1b800023-3ea3-48df-b4ac-c2fae7966360,GEOMETRYCOLLECTION (POINT (81.72317867393087 28.86176811387561)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
19a343c6-583a-4a49-b137-9d94508b34d1,None,1c2db54a-e68f-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32345195166242 27.66934468797734)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6dda1a72-69f2-495f-9d3a-df9774288a42,None,1cfe28d3-c6cb-4d26-8f94-f3e189e7a502,GEOMETRYCOLLECTION (POINT (86.54708271835807 27.58336340194863)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6628f0e0-cfcb-40f6-868f-d8f2aa319c1a,None,1d95833c-6cbe-4f96-be3c-fad253fe5f27,GEOMETRYCOLLECTION (POINT (81.7232764594317 28.86191194123184)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
4f02a5ee-6727-4cf7-b982-16a7a4131dd4,None,1dd2eee2-de1b-48ee-948f-2b2e337b8188,GEOMETRYCOLLECTION (POINT (80.55118910513642 29.3125483660079)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
c2a7a96e-8318-458b-8bc9-2e3634106fef,None,1e2335a0-f62a-11e9-a3c8-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32131325217892 27.67266740872406)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d45d72f1-29c4-41b2-8ace-0cdf7c2a12c6,None,1e4bfd8c-dc8a-11e9-81a8-0242ac140006,GEOMETRYCOLLECTION (POINT (85.323129240296 27.67243963592217)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d3aee80e-5123-4480-8704-717b4121cf2d,None,1fd94780-2644-42d6-bae5-74e6bdfa2abc,GEOMETRYCOLLECTION (POINT (85.3257321279599 27.67841007586094)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a06b9fda-4094-46e4-a05c-c499c8bbaf6f,None,204170f8-e23a-4811-a8c3-aa77b9a792c6,GEOMETRYCOLLECTION (POINT (85.24527091173115 27.69103951945169)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
22adb011-f4e9-4c30-86b2-f2a73963dad5,None,2070b496-e729-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32474503045643 27.67204298182133)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
21216c8e-3517-4629-84ba-e47050fa4ea5,None,20787244-8ee5-11ea-bd59-0242ac130005,GEOMETRYCOLLECTION (POINT (85.3252066222704 27.67831609177852)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
