tileid,parenttile_id,resourceinstance_id,Object width,Object circumference,Object height,Object depth,sortorder,provisionaledits,nodegroup_id
68d40aa0-7d26-4626-97a7-267aaa904057,e4987b2d-17c7-43ce-a93d-45d01b32c56b,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,38.0,0.0,50.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
2d2c4e0d-5d37-495a-b65f-517fd27b93c4,b050b8dc-0dbe-4b6e-b9e5-f97af509d2c8,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,32.0,0.0,42.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
8c823ce8-05b5-44dd-9c3e-9bdec157e8a1,48835a64-e318-4ac3-9e4d-31217501ac07,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,36.0,0.0,54.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
0f7c5830-5264-45ca-bef6-de73d624ff35,5ba1af6e-6b57-4e32-a1b9-c999b0ad3771,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,30.0,0.0,39.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
6f8dbcdc-3698-42c5-a089-03fb794737fd,bfef4c84-d1a5-465b-aaf6-2997158b35c4,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,97.0,0.0,160.0,97.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
b242a7bb-cce5-4b2e-8314-6ed25f437604,c1c6f9d2-319b-4d30-97df-406ad0f9d720,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,97.0,0.0,125.0,97.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
7c142306-610f-4bec-892b-8b73f18d8dfe,3b172b2c-29e4-4325-8284-7b3ed520a34a,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,53.0,0.0,35.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
30085687-3307-4243-a9e8-017af6330bc8,0dc04425-6166-4e8a-a51e-a25b02213eba,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,50.0,0.0,35.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
52995839-43e8-4489-8889-ee1a46ca101d,d586bdeb-7cec-4d59-ab37-36a735e87237,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,20.0,0.0,35.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
384c862a-cff3-47a6-9ccb-8c038e1ac633,cb67ede6-93e1-4243-ba30-2f031561cfe3,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,103.0,0.0,230.0,103.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
8ca7c867-ce09-4c34-9002-3ca000435891,0312bde4-7804-47d5-bdec-ea664ee87703,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,32.0,0.0,20.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
851383ff-e6ca-42bf-9aca-800c65554531,dc46a85d-a10a-4eb1-a88d-db57b0b753f4,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,116.0,,197.0,116.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
d2b48c1c-aafe-47b1-8100-327ae32fde14,253c507f-dde4-47cc-ad37-11866f4167d6,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,22.0,0.0,35.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
3511a42c-35a0-4eb0-8d8a-9795fac8e18f,a0c60f2e-2237-49c8-9bba-0e8b2cb0f8ca,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,35.0,0.0,47.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
57998d4f-446a-4188-8087-9adddd243854,4c4a6b1b-d23d-42a5-a092-2e5b963f9f29,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,37.0,0.0,50.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
446a7dd5-40b1-4b9b-bf27-d33c969f1491,ff54794f-4fec-4897-ab66-8e11525c72f6,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,15.0,0.0,20.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
8ff3afd5-4e71-4834-845f-8b1fc917ee69,4d015b18-756b-47f1-862c-4cec8c983f42,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,42.0,0.0,62.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
37acab54-6702-4be8-8a11-d8587b6fc44e,b3f2ce6d-851a-472a-9eb7-76685d4c7614,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,34.0,0.0,40.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
82c099c6-05dd-42e7-b661-38c1eacca045,e46583b4-9464-4896-826d-bb2de45d621e,02509f50-336d-423f-ac40-60dffc2d905c,80.0,,76.0,,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
34df320d-a6d1-46af-a8f1-025d1abd47d1,b7459dc9-c52a-45d7-bc44-78b8a53cd913,02509f50-336d-423f-ac40-60dffc2d905c,140.0,,195.0,,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
181120e5-b783-499f-a001-6b00c806c495,af41718b-653e-404a-927e-4863278866d7,02509f50-336d-423f-ac40-60dffc2d905c,24.0,,40.0,,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
00226eda-b3f4-4437-80b3-b2bbaed1772e,703dd1ae-15a4-4710-9bdf-e5c8f2ef5735,02509f50-336d-423f-ac40-60dffc2d905c,25.0,,25.0,13.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
1e7461eb-926d-413a-b78e-e9adbf09f146,273c1b29-7b49-4e98-b7a4-49dec98e5362,0426294d-ffe2-4142-b167-1e17296e6a21,18,0,32,43,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
583ebc17-0075-4696-a9fc-e14349679fbb,440057c6-68fe-49ba-893a-af1598eab7f2,0426294d-ffe2-4142-b167-1e17296e6a21,0,0,0,0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
a4432fbc-a735-41d5-93d1-c1c9a04db958,9ddd29d9-c62c-4bd4-bb3b-89afe565f5ff,0426294d-ffe2-4142-b167-1e17296e6a21,31,0,92,66,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
