tileid,parenttile_id,resourceinstance_id,Identification Number,Identifier Type,sortorder,provisionaledits,nodegroup_id
ce646321-f7a2-4424-9b89-a276e7902cae,None,1772bbc6-e73f-11e9-8bc4-0242ac130002,LAL0240,,0,,28294108-9323-11e9-bf23-0242ac120006
a7ee45cb-7279-4e55-ac5a-8c415aefa355,None,178fd214-e67d-11e9-8bc4-0242ac130002,LAL0690,,0,,28294108-9323-11e9-bf23-0242ac120006
e04267f1-500b-4ea8-935e-be9b9440c606,None,1798db32-ecce-11e9-8bc4-0242ac130002,LAL2570,,0,,28294108-9323-11e9-bf23-0242ac120006
090de729-5eda-4aa8-a701-fa40294454d0,None,18f9e792-3138-11ea-b242-0242ac130002,LAL0541,,0,,28294108-9323-11e9-bf23-0242ac120006
1bd4f73b-e1b3-4745-8d5d-c44c5215d0c6,None,1914bb16-0362-11ea-a389-0242ac130002,LAL4218,,0,,28294108-9323-11e9-bf23-0242ac120006
6d946d33-1e2c-4695-9ee6-3b92263df85e,None,1a039922-09eb-11ea-8a1c-0242ac130002,LAL4174,,0,,28294108-9323-11e9-bf23-0242ac120006
7779fa39-fe38-4a0d-8e8a-4133fc6d9cf4,None,1a0a8ea8-eff1-11e9-a3c8-0242ac130002,BUN4006,,0,,28294108-9323-11e9-bf23-0242ac120006
8755d000-92c0-439f-9a50-066a33410faf,None,1a16c05c-ee04-4441-a90c-a9177408fb98,SIJ0340,,0,,28294108-9323-11e9-bf23-0242ac120006
1a1df606-78da-11ea-a71c-0242ac130006,None,1a1afb9a-78da-11ea-a71c-0242ac130006,LAL1271,,0,,28294108-9323-11e9-bf23-0242ac120006
1099eb90-ca3d-49f0-8af7-67fc7f35b650,None,1a5335da-e755-11e9-b125-0242ac130002,LAL127,,0,,28294108-9323-11e9-bf23-0242ac120006
4807b4b1-3c98-4a41-b1e6-1eeebe8f6fd5,None,1a7f3f24-ec12-11e9-8bc4-0242ac130002,LAL2260,,0,,28294108-9323-11e9-bf23-0242ac120006
fe7e54f2-1675-4d0f-87c6-dc6f4ff99901,None,1aadfb0c-34ff-4498-897c-8fe5259f197d,JUM0140,,0,,28294108-9323-11e9-bf23-0242ac120006
f4bf72d3-28cc-4f3e-a7ad-f654cf727bfe,None,1b0a5033-a1ca-4049-8d6f-d1c7b243eabe,BKT0094,,0,,28294108-9323-11e9-bf23-0242ac120006
d279ccdc-a855-45d8-abed-4c5c818626c2,None,1b800023-3ea3-48df-b4ac-c2fae7966360,DLK0018,,0,,28294108-9323-11e9-bf23-0242ac120006
5e16ad86-2b72-4a1c-9429-61ee89156065,None,1c2db54a-e68f-11e9-b125-0242ac130002,LAL4106,,0,,28294108-9323-11e9-bf23-0242ac120006
dbc2463c-e928-4c35-b7cc-9e5406765bbb,None,1cfe28d3-c6cb-4d26-8f94-f3e189e7a502,SOL0120,,0,,28294108-9323-11e9-bf23-0242ac120006
aae83237-6965-45c9-ba14-c398de758bb8,None,1d95833c-6cbe-4f96-be3c-fad253fe5f27,DLK0014,,0,,28294108-9323-11e9-bf23-0242ac120006
5f74d533-8ce8-4f7b-a6ca-ed0be09b6a0f,None,1dd2eee2-de1b-48ee-948f-2b2e337b8188,DDL0180,,0,,28294108-9323-11e9-bf23-0242ac120006
