tileid,parenttile_id,resourceinstance_id,historical construction period, historical pakshya,historical enddate,historical tithi,historical date (BCE/CE) ,historical peculiarities, historicalnepalimonth,historicalgate,historicaleventyear,sortorder,provisionaledits,nodegroup_id
037da0c9-c797-428d-b6d0-ed0bbdace05f,e7d98853-b9d3-4c8a-b310-abe5b26b2356,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Early Rana Period (1846-1885),Dark fortnight,,13,0000,"<p>The date is illegible in the inscription.</p>
",Pauṣa (Pusa),,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
0f22f5fe-a1a1-4a39-98fe-9baf609ae1ec,fffa5dcc-0096-4381-b463-0edf80ad1c73,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Early Rana Period (1846-1885),,,,0000,"<p>Inscription is heavily damaged. Thus its&nbsp;date is illegible.</p>
",,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
645e2ad8-b017-4302-8b17-213b5aac976f,2fe4f1a6-1f96-4070-aef9-61215dbe65dd,0706813a-e81d-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),Gate,,Full Moon,1823,,Pauṣa (Pusa),20,NS 943,0,,ff597fea-a321-11e9-8e7b-0242ac140004
5e395516-6d59-4f3a-bedb-66f995b14e93,f2e7c642-c043-4e52-8b35-44997d180098,0706813a-e81d-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),Gate,,,1943,,Pauṣa (Pusa),20,VS 2000,0,,ff597fea-a321-11e9-8e7b-0242ac140004
b83cd3e4-0475-49c5-aa6a-4ee2466396d4,be5298dd-efea-447a-9100-39df2efe16d7,0706813a-e81d-11e9-8bc4-0242ac130002,Democratic Period (1990-),Gate,,,2017,,Pauṣa (Pusa),21,VS 2073,0,,ff597fea-a321-11e9-8e7b-0242ac140004
90806a8e-6d75-4314-8282-2d402e8c4b1d,7f59c030-8ac6-4a95-8b69-b4aedcaec98b,0706813a-e81d-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),Gate,,,1975,,Pauṣa (Pusa),20,VS 2032,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4d239f8a-07d2-4904-b46b-ddd25a3c2b18,8352e58c-e62e-4cd8-900d-b5693ff9312b,0826cd5e-f3e4-11e9-a3c8-0242ac130002,,Bright fortnight ,,Full Moon,1969,,Māgha,,NS 1089,0,,ff597fea-a321-11e9-8e7b-0242ac140004
992ffce5-85d4-4280-86d0-19713ba346a7,d1f91caf-aae1-41b4-9d97-d58b3dace74f,09670bee-ec13-11e9-b125-0242ac130002,Early Malla Period (13th-1482),Bright fortnight ,,"10,11",1391-06-12,,Āṣāḍha (Asāra),,NS 511,0,,ff597fea-a321-11e9-8e7b-0242ac140004
c482657d-1a4c-4ad0-9c3e-d45882e76a2f,f4905afc-ae31-4440-81e4-59e006f61409,09670bee-ec13-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Dark fortnight,,6,1702 CE,,Pauṣa (Pusa),,NS 822,0,,ff597fea-a321-11e9-8e7b-0242ac140004
69553e4d-4cbd-4b1c-89b6-35aac69afee2,63873d29-cdf3-4056-87c5-1b6a083c9ada,09670bee-ec13-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,2,1552 CE,,Jyeṣṭha (Jeṭha),,NS 672,0,,ff597fea-a321-11e9-8e7b-0242ac140004
